"lon","lat","d18Of","month"
-60,-61.5789473684211,-9.63924884796143,1
-57.5,-61.5789473684211,-9.70509052276611,1
-55,-61.5789473684211,-9.41210651397705,1
-52.5,-61.5789473684211,-8.94083976745605,1
-50,-61.5789473684211,-8.32691860198975,1
-47.5,-61.5789473684211,-8.12215900421143,1
-45,-61.5789473684211,-8.18372821807861,1
-42.5,-61.5789473684211,-8.16607761383057,1
-40,-61.5789473684211,-8.26266670227051,1
-37.5,-61.5789473684211,-8.21910381317139,1
-35,-61.5789473684211,-8.15573215484619,1
-90,-59.6842105263158,-9.56629180908203,1
-87.5,-59.6842105263158,-9.55638885498047,1
-85,-59.6842105263158,-9.5145206451416,1
-82.5,-59.6842105263158,-9.39437103271484,1
-80,-59.6842105263158,-9.1353178024292,1
-77.5,-59.6842105263158,-8.96114635467529,1
-75,-59.6842105263158,-8.90995502471924,1
-72.5,-59.6842105263158,-8.78218460083008,1
-70,-59.6842105263158,-8.63242816925049,1
-67.5,-59.6842105263158,-8.61094379425049,1
-65,-59.6842105263158,-8.47568511962891,1
-62.5,-59.6842105263158,-8.53507900238037,1
-60,-59.6842105263158,-8.81291675567627,1
-57.5,-59.6842105263158,-9.20310211181641,1
-55,-59.6842105263158,-9.07417106628418,1
-52.5,-59.6842105263158,-8.91111469268799,1
-50,-59.6842105263158,-8.286865234375,1
-47.5,-59.6842105263158,-8.13976764678955,1
-45,-59.6842105263158,-8.00699615478516,1
-42.5,-59.6842105263158,-8.06625843048096,1
-40,-59.6842105263158,-8.15569305419922,1
-37.5,-59.6842105263158,-8.11976909637451,1
-35,-59.6842105263158,-7.99161815643311,1
-90,-57.7894736842105,-9.50101280212402,1
-87.5,-57.7894736842105,-9.46284580230713,1
-85,-57.7894736842105,-9.48148345947266,1
-82.5,-57.7894736842105,-9.47761535644531,1
-80,-57.7894736842105,-9.26116561889648,1
-77.5,-57.7894736842105,-8.90590953826904,1
-75,-57.7894736842105,-8.81562232971191,1
-72.5,-57.7894736842105,-8.71383666992188,1
-70,-57.7894736842105,-8.54536819458008,1
-67.5,-57.7894736842105,-8.50631523132324,1
-65,-57.7894736842105,-8.34080505371094,1
-62.5,-57.7894736842105,-8.63685894012451,1
-60,-57.7894736842105,-9.36318969726562,1
-57.5,-57.7894736842105,-9.43096160888672,1
-55,-57.7894736842105,-8.99794101715088,1
-52.5,-57.7894736842105,-8.57080173492432,1
-50,-57.7894736842105,-7.98529434204102,1
-47.5,-57.7894736842105,-8.0213623046875,1
-45,-57.7894736842105,-8.0712890625,1
-42.5,-57.7894736842105,-7.98818254470825,1
-40,-57.7894736842105,-7.8531231880188,1
-37.5,-57.7894736842105,-7.86190509796143,1
-35,-57.7894736842105,-7.85184955596924,1
-90,-55.8947368421053,-9.34745693206787,1
-87.5,-55.8947368421053,-9.27430152893066,1
-85,-55.8947368421053,-9.25501918792725,1
-82.5,-55.8947368421053,-9.13057518005371,1
-80,-55.8947368421053,-8.94193935394287,1
-77.5,-55.8947368421053,-8.65079879760742,1
-75,-55.8947368421053,-8.6306324005127,1
-72.5,-55.8947368421053,-8.48409271240234,1
-70,-55.8947368421053,-8.28384208679199,1
-67.5,-55.8947368421053,-8.1865062713623,1
-65,-55.8947368421053,-8.20767879486084,1
-62.5,-55.8947368421053,-9.06025314331055,1
-60,-55.8947368421053,-9.58831024169922,1
-57.5,-55.8947368421053,-9.46069526672363,1
-55,-55.8947368421053,-9.08694076538086,1
-52.5,-55.8947368421053,-8.13585186004639,1
-50,-55.8947368421053,-7.65447616577148,1
-47.5,-55.8947368421053,-7.81508445739746,1
-45,-55.8947368421053,-7.93509197235107,1
-42.5,-55.8947368421053,-7.9183349609375,1
-40,-55.8947368421053,-7.63538885116577,1
-37.5,-55.8947368421053,-7.62248182296753,1
-35,-55.8947368421053,-7.75989866256714,1
-90,-54,-8.96426296234131,1
-87.5,-54,-8.90573883056641,1
-85,-54,-8.82015514373779,1
-82.5,-54,-8.6528377532959,1
-80,-54,-8.526611328125,1
-77.5,-54,-8.51962184906006,1
-75,-54,-8.33953094482422,1
-72.5,-54,-8.09348106384277,1
-70,-54,-7.91024732589722,1
-67.5,-54,-7.8506441116333,1
-65,-54,-8.12158966064453,1
-62.5,-54,-9.1331148147583,1
-60,-54,-9.44483661651611,1
-57.5,-54,-9.29500770568848,1
-55,-54,-8.88826560974121,1
-52.5,-54,-8.30974388122559,1
-50,-54,-7.35891675949097,1
-47.5,-54,-7.91440010070801,1
-45,-54,-8.31454372406006,1
-42.5,-54,-7.91541481018066,1
-40,-54,-7.30711984634399,1
-37.5,-54,-7.12094497680664,1
-35,-54,-7.32164239883423,1
-90,-52.1052631578947,-8.49794006347656,1
-87.5,-52.1052631578947,-8.28687953948975,1
-85,-52.1052631578947,-8.06664943695068,1
-82.5,-52.1052631578947,-7.9628849029541,1
-80,-52.1052631578947,-7.99360799789429,1
-77.5,-52.1052631578947,-7.88555765151978,1
-75,-52.1052631578947,-7.74245262145996,1
-72.5,-52.1052631578947,-7.5634651184082,1
-70,-52.1052631578947,-7.39027976989746,1
-67.5,-52.1052631578947,-7.38271713256836,1
-65,-52.1052631578947,-7.65223503112793,1
-62.5,-52.1052631578947,-8.61146068572998,1
-60,-52.1052631578947,-9.07865524291992,1
-57.5,-52.1052631578947,-8.94245147705078,1
-55,-52.1052631578947,-8.64641952514648,1
-52.5,-52.1052631578947,-7.64607381820679,1
-50,-52.1052631578947,-6.81812858581543,1
-47.5,-52.1052631578947,-6.825110912323,1
-45,-52.1052631578947,-7.05417060852051,1
-42.5,-52.1052631578947,-6.96499156951904,1
-40,-52.1052631578947,-6.67607688903809,1
